OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions,education,leisure,lodging,mall,medical,non refrigerated warehouse,office,other,refrigerated warehouse,restauration,services,store
19853,office,Hartford Building,7,1929.0,1.0,2.0,0.0,20028.0,95.0,511797.4063,14.22,0.2272132749663836,0.87,13.145686088791292,2.72261035243354,0.0,0.0,0.0,0.0,0.0,0.0,20028.0,0.0,0.0,0.0,0.0,0.0
19855,office,Lowman & Hanford Building,7,1900.0,1.0,7.0,0.0,23622.0,100.0,552007.5,9.95,0.3238761220745128,0.87,13.2213187236914,2.3933394562625097,0.0,0.0,0.0,0.0,0.0,0.0,26195.0,0.0,0.0,2285.0,0.0,0.0
19856,office,Howard Building,7,1902.0,1.0,3.0,0.0,23563.0,67.0,883197.6875,6.16,0.3246597768084087,0.87,13.691305468430494,1.9685099809725544,0.0,0.0,0.0,0.0,0.0,0.0,20183.0,0.0,0.0,3380.0,0.0,0.0
19857,other,Good Arts Building,7,1903.0,1.0,3.0,0.0,28600.0,,1062722.625,24.25,0.3314572511274111,0.62,13.876345628223117,3.228826155721369,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,3000.0,0.0,11000.0
19858,other,Marion 823,7,1978.0,1.0,2.0,12379.0,26160.0,55.0,2186018.5,15.24,0.3001588439744036,0.87,14.597592868081396,2.787477334733532,0.0,0.0,0.0,0.0,0.0,12379.0,10611.0,0.0,0.0,0.0,0.0,15549.0
19860,office,Marion 814,7,1906.0,1.0,5.0,0.0,26840.0,24.0,1989287.0,13.87,0.3001588439744036,0.87,14.503287343734216,2.699345760472064,0.0,0.0,0.0,0.0,0.0,0.0,29040.0,0.0,0.0,0.0,0.0,0.0
19861,store,Marion 804,7,1906.0,1.0,2.0,0.0,46800.0,86.0,1245187.5,8.68,0.3001588439744036,0.87,14.03479748204276,2.2700619012884857,0.0,0.0,0.0,0.0,0.0,0.0,10781.0,0.0,0.0,0.0,0.0,36019.0
19862,office,Marion 801,7,1979.0,1.0,3.0,26640.0,37350.0,51.0,2067352.5,14.63,0.2641071793795868,0.87,14.541779844844612,2.749192144433385,0.0,0.0,0.0,0.0,0.0,26640.0,39000.0,0.0,0.0,0.0,0.0,0.0
19864,office,S2315 - Belltown Worklofts,7,1908.0,1.0,3.0,0.0,28800.0,50.0,1345025.75,28.81,1.6976186276194534,0.62,14.11192445929614,3.39484390768998,0.0,0.0,0.0,0.0,0.0,6200.0,21600.0,7200.0,0.0,0.0,0.0,0.0
19871,office,2717 3rd Avenue Building,7,1954.0,1.0,3.0,4968.0,28584.0,75.0,1696978.75,60.43,2.105563242479233,0.37,14.34436061132254,4.117898315175836,0.0,0.0,0.0,0.0,0.0,4968.0,26556.0,0.0,0.0,0.0,0.0,0.0
