OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
32,lodging,Homewood Suites,7,1991.0,1.0,8.0,30301.0,128375.0,lodging,112676.0,non refrigerated warehouse,42000.0,store,4500.0,,5328051.5,256.57,1.021794658419954,0.12,15.488496344757419,5.55129152782092
33,lodging,Marriott Springhill Suites (33),7,2001.0,1.0,10.0,38281.0,133585.0,lodging,128909.0,aucun,0.0,aucun,0.0,57.0,11061916.0,328.63,1.5579469595668745,0.62,16.219018866344626,5.797970813310776
35,lodging,Hotel Five,7,1978.0,1.0,5.0,16200.0,52210.0,lodging,47994.0,aucun,0.0,aucun,0.0,57.0,4456714.5,128.44,1.584586680937015,0.62,15.309922617717225,4.863217453310182
36,education,Jane Addams Middle,5,1949.0,1.0,2.0,0.0,160645.0,education,164229.0,aucun,0.0,aucun,0.0,75.0,6779173.0,270.18,12.118096888721945,0.37,15.72936582358628,5.602782807034163
37,education,John Hay Elementary,7,1989.0,1.0,2.0,0.0,51582.0,education,55166.0,aucun,0.0,aucun,0.0,,1496816.0,10.43,3.6226282953775146,0.87,14.21885141144032,2.4362414778067194
38,office,Good Shepherd Center,4,1906.0,1.0,3.0,0.0,87262.0,office,40943.0,education,18153.0,leisure,4307.0,,4145920.5,157.77,6.702413758931593,0.37,15.23763563788641,5.06745661408942
40,lodging,Silver Cloud University,4,1994.0,1.0,4.0,0.0,81871.0,lodging,81871.0,aucun,0.0,aucun,0.0,29.0,6668568.5,215.0,7.257138095020356,0.37,15.71291592712419,5.375278407684165
41,non refrigerated warehouse,08781-University Village,4,1955.0,1.0,2.0,0.0,110356.0,non refrigerated warehouse,26225.0,aucun,0.0,aucun,0.0,,318364.8125,3.93,6.92071271518606,0.87,12.670956354385986,1.5953389880545987
50,education,Lawton Elementary,7,1990.0,1.0,2.0,0.0,54986.0,education,54986.0,aucun,0.0,aucun,0.0,97.0,1650279.25,31.47,7.428025333009183,0.62,14.316455679938992,3.4803165861147547
51,education,Eckstein Middle,4,1950.0,1.0,2.0,0.0,175565.0,education,182861.0,aucun,0.0,aucun,0.0,88.0,6399127.5,266.05,9.132660423986762,0.12,15.67167236718267,5.587435906785779
52,office,SBC52,6,1961.0,1.0,2.0,0.0,94900.0,office,55586.0,non refrigerated warehouse,39314.0,aucun,0.0,57.0,6186461.5,130.56,8.030381343781347,0.62,15.637873995032086,4.8794630213208565
53,office,El Centro de la Raza,2,1900.0,1.0,2.0,0.0,52554.0,office,51029.0,education,7849.0,aucun,0.0,83.0,2951331.25,83.86,2.9603627577345843,0.62,14.897767236540313,4.441002839774179
54,education,Blanchet High School,6,1954.0,1.0,3.0,0.0,175015.0,education,175015.0,aucun,0.0,aucun,0.0,95.0,6994740.5,247.85,9.469873963177578,0.37,15.760669210431033,5.516850305304563
